RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,Setting,Treatment,Season,Design,TreatmentDuration,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,Direction,d,l_95,u_95,v,Calculation,Beta (estimate),l95CI,U95CI,SE,t,T,Z,F,X2,H,U,p,Details
18,KJM,Dudek,2018,Song sparrow,Melospiza melodia,Y,,,Bird,Field,A,breeding,within,1 hour,after,NonPred,both,A,21,42,21,21,a,1,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),1,-1.1062,-1.7557,-0.4567,0.109806,mean+se from Figure 1,,,,,,,,,,,,,
18,KJM,Dudek,2018,Song sparrow,Melospiza melodia,Y,,,Bird,Field,A,breeding,within,1 hour,after,NonPred,both,A,21,42,21,21,a,1,Behaviour,ParentalCare,Provisioning,feeds per visit,1,-1.3435,-2.0131,-0.6739,0.16726,mean+se in main text,,,,,,,,,,,,,
18,KJM,Dudek,2018,Song sparrow,Melospiza melodia,Y,,,Bird,Field,A,breeding,within,1 hour,after,NonPred,both,J,8,17,8.5,8.5,b,2,Behaviour,Intake,Begging,begging per hour,1,0.1555,-0.826,1.137,0.250756,mean+se in main text,,,,,,,,,,,,,
48,KJM,Dillon,2018,Red-faced warbler,Cardellina rubrifrons,N,Cliff chipmunk,Tamias dorsalis,Mammal,Field,L,breeding,among,7 days,after,NonPred,F,A,81,81,39,42,c,3,LifeHistory,reproduction,ClutchSize,clutch size,1,-0.0707,-0.5042,0.3629,0.048927,raw data extracted from Figure 1,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,Mass,body mass (g),1,0.2805,-0.0309,-0.5919,0.025246,from Figure1a,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,FlightPerformance,wing loading,-1,0.1833,-0.1272,0.493,0.025105,mean+se in main text,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,Mass,fat mass (g),1,0.4088,0.0957,0.722,0.025522,from Figure1b,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,Mass,lean mass (g),1,-0.0048,-0.3147,0.3051,0.025,mean+se in main text,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,FlightPerformance,pectoral muscle thickness (mm),1,0.3224,0.0105,0.6343,0.025325,from Figure1c,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,5,Physiology,Condition,FlightPerformance,take off angle (degrees),1,0.4056,0.0926,0.787,0.025514,from Figure2a,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,5,Physiology,Condition,FlightPerformance,take off speed (m/s),1,-0.2012,-0.5119,0.1095,0.025126,from Figure2b,,,,,,,,,,,,,
39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,Semi-natural,AV,breeding,within,10 days,after,NonPred,both,A,80,160,80,80,d,5,Physiology,Condition,FlightPerformance,mechanical energy output,1,0.1122,-0.1979,0.4224,0.025039,"mean+se in main text, but effect size opposite relative to what's shown in figure 2c. Use direction from figure.",,,,,,,,,,,,,
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,M,A,8,16,8,8,e,6,Behaviour,AntiPredator,Vigilance,proportion time vigilant,1,0.4103,-0.5799,1.4006,0.255262,means and se provided in Table 3,,,,,,,,,,,,,"paired males with their mates. Before playback = control, after playback = treatment"
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,M,A,3,6,3,3,f,6,Behaviour,AntiPredator,Vigilance,proportion time vigilant,1,2.776,1.4029,4.1491,0.490819,means and se provided in Table 3,,,,,,,,,,,,,unpaired males
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,F,A,8,16,8,8,g,6,Behaviour,AntiPredator,Vigilance,proportion time vigilant,1,0.5892,-0.4118,1.5903,0.26085,means and se provided in Table 3,,,,,,,,,,,,,paired mfemales with their mates
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,F,A,2,4,2,2,h,6,Behaviour,AntiPredator,Vigilance,proportion time vigilant,1,0.1942,-0.7881,1.1764,0.251178,means and se provided in Table 3,,,,,,,,,,,,,lone females
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,M,A,8,16,8,8,e,7,Behaviour,Intake,Foraging,proportion of time foraging,1,-0.1675,-1.1492,0.8142,0.250877,means and se provided in Table 3,,,,,,,,,,,,,paired male with their mate
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,M,A,3,6,3,3,f,7,Behaviour,Intake,Foraging,proportion of time foraging,1,-1.2628,-2.3361,-0.1896,0.299837,means and se provided in Table 3,,,,,,,,,,,,,unaired males
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,F,A,8,16,8,8,g,7,Behaviour,Intake,Foraging,proportion of time foraging,1,-0.3608,-1.3487,0.6271,0.254068,means and se provided in Table 3,,,,,,,,,,,,,females with mates
596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,Field,A,breeding,within,10 minutes,after,Blank,F,A,2,4,2,2,h,7,Behaviour,Intake,Foraging,proportion of time foraging,1,-0.25227,-1.2539,0.7149,0.25227,means and se provided in Table 3,,,,,,,,,,,,,lone females
898,KJM,Griesser,2017,Siberian jay,Perisoreus infaustus,N,goshawk,Accipiter gentilis,Bird,Field,V,non-breeding,among,2 months,after,Blank,both,J,80,80,24,56,i,8,LifeHistory,Survival,Survival,overwinter survival,1,9.6383,-2196.0961,2215.3728,1266514.828,from Fig2,,,,,,,,,,,,,
898,KJM,Griesser,2017,Siberian jay,Perisoreus infaustus,N,sparrowhawk,Accipiter nisus,Bird,Field,V,non-breeding,among,2 months,after,Blank,both,J,72,72,16,56,i,8,LifeHistory,Survival,Survival,overwinter survival,1,0.306,-0.4625,1.0744,0.15372,from Fig2,,,,,,,,,,,,,
898,KJM,Griesser,2017,Siberian jay,Perisoreus infaustus,N,Ural owl,Strix uralensis,Bird,Field,V,non-breeding,among,2 months,after,Blank,both,J,69,69,13,56,i,8,LifeHistory,Survival,Survival,overwinter survival,1,-0.1333,-0.846,0.5793,0.132203,from Fig2,,,,,,,,,,,,,
898,KJM,Griesser,2017,Siberian jay,Perisoreus infaustus,N,goshawk,Accipiter gentilis,Bird,Field,V,non-breeding,among,2 months,after,Blank,both,J,80,80,24,56,i,8,LifeHistory,Survival,Survival,prob of becoming breeder,1,0.5801,0.0301,1.1302,0.078762,from Fig2,,,,,,,,,,,,,
898,KJM,Griesser,2017,Siberian jay,Perisoreus infaustus,N,sparrowhawk,Accipiter nisus,Bird,Field,V,non-breeding,among,2 months,after,Blank,both,J,72,72,16,56,i,8,LifeHistory,Survival,Survival,prob of becoming breeder,1,0.4338,-0.2021,1.0698,0.10529,from Fig2,,,,,,,,,,,,,
898,KJM,Griesser,2017,Siberian jay,Perisoreus infaustus,N,Ural owl,Strix uralensis,Bird,Field,V,non-breeding,among,2 months,after,Blank,both,J,69,69,13,56,i,8,LifeHistory,Survival,Survival,prob of becoming breeder,1,-0.7514,-1.8856,0.3827,0.33487,from Fig2,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,V,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,call rate,1,2.5677,1.4084,3.7271,0.349886,from fig2a,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VP,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,call rate,1,1.2629,0.2509,2.2749,0.266582,from fig2a,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,AV,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,call rate,1,2.39,1.2552,3.5247,0.335201,from fig2a,,,,,,,,,,,,,
679,KJM,Carlson,2017,Blue tit,Cyanistes caeruleus,N,sparrowhak,Accipiter nisus,Bird,Field,VM,non-breeding,within,30 minutes,during,Blank,M,A,12,24,12,12,j,10,Behaviour,AntiPredator,Mobbing,call rate,1,1.645,0.5985,2.6915,0.285101,from fig2a,,,,,,,,,,,,,
