"RecNo","ExtractedBy","Author","Year","FocalSpC","FocalSpL","MultiplePred","PredSpC","PredSpL","PredGuild","PredTo","Setting","Treatment","Season","Design","TreatmentDuration","duration_days","ResponsePeriod","ControlType","Sex","Age","N","Nobs","NTreat","Ncontrol","SubjectID","ResponseID","Type","Category","SubCategory","ResponseDetails","PredictedDirection","Direction","d","l_95","u_95","v","Calculation","Control_mean","Control_se","Control_sd","Treatment_mean","Treatment_se","Treatment_sd","control_median","control_lowerquartile","control_upperquartile","treament_median","treament_lowerquartile","treatment_upperquartile","Beta_estimate","Beta_se","Beta_sd","l95CI","U95CI","SE","t","T","Z","F","Wald","X2","H","U","p","Details","FocalSpL_corrected"
"1","JDAT","Mathot",2016,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","A","non-breeding","within","3 weeks",21,"after","NonPred","both","A",31,114,26,31,"52","141","Physiology","Condition","Mass","MassChange",-1,1,-0.2927,-0.8167,0.2313,0.071471,"Fig3",-0.017241,0.133769,NA,-0.17063,0.065993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"3","JDAT","Mathot",2015,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","AV","non-breeding","within","30 days",30,"after","Blank","both","A",65,530,60,65,"51","140","Behaviour","Intake","Foraging","LatencyResume",-1,-1,1.0052,0.6328,1.3776,0.0361,"Supplementary Table 1",7385.39,NA,5006.75,12642.51,NA,5461.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","Measure of latency after started the experiment. Could be during the process. Information from same individuals and across different individuals","Parus_major"
"4","KJM","Abbey-Lee",2018,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","breeding","among","4 months",122,"after","NonPred","F","A",286,384,143,143,"v","33","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,0,-0.2318,0.2318,0.013986,"provided in text, assumed individuals balanced across treatments",8.7,0.13,NA,8.7,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"5","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","non-breeding","within","3 weeks",21,"after","NonPred","both","A",143,143,67,76,"y","40","Behaviour","AntiPredator","Avoidance","recapture probability",1,-1,0.1579,-0.2395,0.5553,0.040377,"values in text - used binary proportions calculator",0.67,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"5","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","non-breeding","within","3 weeks",21,"after","NonPred","both","A",92,92,43,49,"y","41","Physiology","Condition","Mass","body mass (g)",-1,1,-0.2692,-0.6806,0.1422,0.044058,"Table 2, interaction estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,0.114795918,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"5","KJM","Abbey-Lee",2016,"Great tit","Parus major","N","sparrowhawk","Accipiter_nisus","Bird","A","Field","A","non-breeding","within","3 weeks",21,"after","NonPred","both","A",92,92,43,49,"y","42","Behaviour","CostlyBehaviours","Activity","exploration",-1,1,-0.3599,-0.7727,0.0529,0.044368,"Table 2, interaction estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0.015306122,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"6","JDAT/KJM","Hakkarainen",2002,"Pied flycatcher","Ficedula hypoleuca","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Field","A","breeding","among","4 hours",0.333333333,"during","NonPred","both","A",15,30,15,15,"29","96","Behaviour","ParentalCare","Provisioning","Latency to visit nest after treatment",-1,-1,-0.0172,0.7329,0.6985,0.133338,"means and se's in main text",5.4,0.87,NA,5.33,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.04",NA,NA,NA,NA,NA,NA,NA,"0.967","","Ficedula_hypoleuca"
"6","JDAT/KJM","Hakkarainen",2002,"Pied flycatcher","Ficedula hypoleuca","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Field","A","breeding","within","4 hours",0.333333333,"during","NonPred","both","A",13,25,12,13,"29","96","Behaviour","ParentalCare","Provisioning","Provisioning rate (owl first treatment)",-1,1,0.2933,-0.4955,1.0821,0.161977,"Table1, means and se",0.55,0.13,NA,0.55,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,NA,NA,NA,NA,NA,NA,"0.7","","Ficedula_hypoleuca"
"6","JDAT/KJM","Hakkarainen",2002,"Pied flycatcher","Ficedula hypoleuca","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Field","A","breeding","within","4 hours",0.333333333,"during","NonPred","both","A",15,30,15,15,"29","96","Behaviour","ParentalCare","Provisioning","Provisioning rate (blackbird first treatment)",-1,1,0.1493,-0.5673,0.866,0.133705,"Table1, means and se",0.41,0.11,NA,0.49,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.67",NA,NA,NA,NA,NA,NA,NA,"0.02","","Ficedula_hypoleuca"
"7","KJM","Mathot",2020,"Red knot","Calidris canutus","N","sparrowhawk","Accipiter nisus","Bird","A","Lab","V","non-breeding","within","5 days each",5,"after","Blank","both","A",48,96,48,48,"120","240","Physiology","Condition","Mass","body mass (g)",-1,1,-0.69205,NA,NA,NA,"mean effect size in Table 1 & SE computed from 95% CI in text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.26,0.698979592,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Calidris_canutus"
"7","KJM","Mathot",2020,"Red knot","Calidris canutus","N","sparrowhawk","Accipiter nisus","Bird","A","Lab","V","non-breeding","within","5 days each",5,"after","Blank","both","A",48,96,48,48,"120","241","Behaviour","Intake","Foraging","proption of time foraging",-1,1,-0.06074,NA,NA,NA,"mean effect size in Table 1 & SE computed from 95% CI in text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44,0.158163265,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Calidris_canutus"
"7","KJM","Mathot",2020,"Red knot","Calidris canutus","N","sparrowhawk","Accipiter nisus","Bird","A","Lab","V","non-breeding","within","5 days each",5,"after","Blank","both","A",48,96,48,48,"120","242","Behaviour","CostlyBehaviours","Activity","proportion of time active",-1,1,-0.06471,NA,NA,NA,"mean effect size in Table 1 & SE computed from 95% CI in text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,0.244897959,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Calidris_canutus"
