complete,RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,PredTo,Setting,Treatment,Season,Design,TreatmentDuration,duration_days,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,PredictedDirection,Direction,d,l_95,u_95,v,Calculation,Control_mean,Control_se,Control_sd,Treatment_mean,Treatment_se,Treatment_sd,control_median,control_lowerquartile,control_upperquartile,treament_median,treament_lowerquartile,treatment_upperquartile,Beta_estimate,Beta_se,Beta_sd,l95CI,U95CI,SE,t,T,Z,F,Wald,X2,H,U,p,Details
y,18,KJM,Dudek,2018,Song sparrow,Melospiza melodia,Y,,,Bird,B,Field,A,breeding,within,1 hour,0.083333333,after,NonPred,both,A,21,42,21,21,a,1,Behaviour,ParentalCare,Provisioning,provisioning rate (provisioning events per hour),-1,1,-1.1062,-1.7557,-0.4567,0.109806,mean+se from Figure 1,9.83,0.7,,6.24,0.78,,,,,,,,,,,,,,,,,22.49,,,,,<0.001,
y,18,KJM,Dudek,2018,Song sparrow,Melospiza melodia,Y,,,Bird,B,Field,A,breeding,within,1 hour,0.083333333,after,NonPred,both,A,21,42,21,21,a,1,Behaviour,ParentalCare,Provisioning,feeds per visit,-1,1,-1.3435,-2.0131,-0.6739,0.16726,mean+se in main text,1.27,0.04,,0.89,0.08,,,,,,,,,,,,,,,,,29.02,,,,,<0.001,
y,18,KJM,Dudek,2018,Song sparrow,Melospiza melodia,Y,,,Bird,B,Field,A,breeding,within,1 hour,0.083333333,after,NonPred,both,J,8,17,8.5,8.5,b,2,Behaviour,Intake,Begging,begging per hour,-1,1,0.1555,-0.826,1.137,0.250756,mean+se in main text,194,33,,210,44,,,,,,,,,,,,,,,,,0.33,,,,,0.57,
y,48,KJM,Dillon,2018,Red-faced warbler,Cardellina rubrifrons,N,Cliff chipmunk,Tamias dorsalis,Mammal,N,Field,L,breeding,among,7 days,7,after,NonPred,F,A,83,83,39,44,c,3,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,-0.0707,-0.5042,0.3629,0.048927,raw data extracted from Figure 2,4.41,,0.62,4.08,,0.66,,,,,,,,,,,,,,,,,,,,,,pooled supplemented and non-supplemented since no effect of supplementation
y,39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,A,Semi-natural,AV,breeding,within,10 days,10,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,Mass,body mass (g),-1,1,0.2805,-0.0309,-0.5919,0.025246,from Figure1a,45.26,0.29,,46.06,0.36,,,,,,,,,,,,,,,,,9.8,,,,,0.003,
y,39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,A,Semi-natural,AV,breeding,within,10 days,10,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,Mass,fat mass (g),-1,1,0.4088,0.0957,0.722,0.025522,from Figure1b,2.79,0.21,,3.72,0.25,,,,,,,,,,,,,,,,,15.1,,,,,0.001,
y,39,KJM,Walters,2017,Brown-headed cowbird,Malothrus mater,Y,,,Bird,A,Semi-natural,AV,breeding,within,10 days,10,after,NonPred,both,A,80,160,80,80,d,4,Physiology,Condition,Mass,lean mass (g),-1,1,-0.0048,-0.3147,0.3051,0.025,mean+se in main text,33.96,0.22,,33.95,0.25,,,,,,,,,,,,,,,,,0.1,,,,,0.81,
y,596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,A,Field,A,breeding,within,10 minutes,0.013888889,after,Blank,M,A,8,16,8,8,e,6,Behaviour,Intake,Foraging,proporion time foraging,-1,1,-0.1675,-1.1492,0.8142,0.250877,means and se provided in Table 3,0.37,0.287,,0.17,0.57,,,,,,,,,,,,,,2.642,,,,,,,,0.033,"paired males with their mates. Before playback = control, after playback = treatment"
y,596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,A,Field,A,breeding,within,10 minutes,0.013888889,after,Blank,F,A,8,16,8,8,g,6,Behaviour,Intake,Foraging,proportion time foraging,-1,1,-0.3608,-1.3487,0.6271,0.254068,means and se provided in Table 3,0.612,0.173,,0.404,0.255,,,,,,,,,,,,,,2.079,,,,,,,,0.076,"paired females with their mates. Before playback = control, after playback = treatment"
y,596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,A,Field,A,breeding,within,10 minutes,0.013888889,after,Blank,M,A,3,6,3,3,f,6,Behaviour,Intake,Foraging,proportion time foraging,-1,1,-2.3626,-4.4477,-0.2774,1.131808,means and se provided in Table 3,0.688,0.161,,0.289,0.051,,,,,,,,,,,,,,6.144,,,,,,,,0.025,"unpaired males. Before playback = control, after playback = treatment"
y,596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,A,Field,A,breeding,within,10 minutes,0.013888889,after,Blank,M,A,8,16,8,8,e,6,Behaviour,AntiPredator,Vigilance,proportion time vigilant,1,1,0.4103,-0.5799,1.4006,0.255262,means and se provided in Table 3,0.44,0.238,,0.67,0.182,,,,,,,,,,,,,,-3.3,,,,,,,,0.013,"paired males with their mates. Before playback = control, after playback = treatment"
y,596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,A,Field,A,breeding,within,10 minutes,0.013888889,after,Blank,F,A,8,16,8,8,g,6,Behaviour,AntiPredator,Vigilance,proportion time vigilant,1,1,0.5892,-0.4118,1.5903,0.26085,means and se provided in Table 3,0.168,0.066,,0.512,0.305,,,,,,,,,,,,,,-3.352,,,,,,,,0.012,"paired females with their mates. Before playback = control, after playback = treatment"
y,596,KJM,Lou,2017,Chinese grouse,Tetrastes sewesrzowi,N,goshawk,Accipiter gentilis,Bird,A,Field,A,breeding,within,10 minutes,0.013888889,after,Blank,M,A,3,6,3,3,f,6,Behaviour,AntiPredator,Vigilance,proportion time vigilant,1,1,2.776,1.4029,4.1491,0.490819,means and se provided in Table 3,0.374,0.201,,0.629,0.054,,,,,,,,,,,,,,-7.27,,,,,,,,0.018,"unpaired males. Before playback = control, after playback = treatment"
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,asymptotic chick mass,-1,1,0.0325,-0.9152,0.9802,0.233796,ESM table S7,12.41,0.28,,12.43,0.18,,,,,,,,,,,,,,<0.01,,,,,,,,0.949,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,chick growth rate,-1,1,-1.2165,-2.2441,-0.1889,0.274873,ESM table S7,0.481,0.012,,0.459,0.0007,,,,,,,,,,,,,,2.29,,,,,,,,0.131,
y,214,KJM,LaMann,2016,Dusky flycatcher,Empidonax oberholseri,Y,,,mixed,N,Field,A,breeding,among,5 weeks,35,after,Blank,both,N,18,18,11,7,o,26,Physiology,Condition,Growth,chick mass inflection,-1,1,2.66,1.3776,3.9509,0.430945,ESM table S7,4.22,0.14,,5.04,0.09,,,,,,,,,,,,,,20.16,,,,,,,,<0.001,
